Cells,Value,Error
47.0,188.402,0.0008
45.0,113.26,0.0007
43.0,57.3352,0.0008
41.0,21.0683,0.001
39.0,7.49876,0.0012
37.0,2.30236,0.0015
35.0,0.979243,0.0018
33.0,0.251354,0.0023
26.0,0.00266689,0.0048
30.0,0.0773316,0.0028
29.0,0.0426508,0.0029
28.0,0.0165931,0.0034
27.0,0.00647769,0.0041
21.0,0.000208995,0.0082
55.0,262.47,0.0004
57.0,163.696,0.0003
59.0,86.9493,0.0004
61.0,32.4909,0.0004
63.0,11.3993,0.0006
65.0,3.42777,0.0007
67.0,1.4309,0.0009
69.0,0.358759,0.0011
72.0,0.10939,0.0014
73.0,0.0767139,0.0014
74.0,0.0385943,0.0016
75.0,0.0180909,0.0019
76.0,0.0086499,0.0022
77.0,0.00429693,0.0026
78.0,0.00219727,0.003
79.0,0.00115971,0.0035
80.0,0.00063045,0.0039
81.0,0.000334137,0.0044
86.0,3.05176e-05,0.0077
